Id,Fipe,Marca,Modelo,Valor,Ano Fabricacao,Ano Modelo,KM,Transmissao,Cor,Versao,Cidade,Tipo Vendedor,Link
39138117,106,CHEVROLET,TRACKER,62900,2014,2014,119000,Manual,Branco,1.8 MPFI FREERIDE 4X2 16V FLEX 4P MANUAL,Brusque,PJ,https://www.webmotors.com.br/comprar/CHEVROLET/TRACKER/1.8-MPFI-FREERIDE-4X2-16V-FLEX-4P-MANUAL/4-portas/2014-2014/39138117
39998288,128,RENAULT,LOGAN,26900,2010,2011,115206,Manual,Branco,1.0 AUTHENTIQUE 16V FLEX 4P MANUAL,Itajaí,PJ,https://www.webmotors.com.br/comprar/RENAULT/LOGAN/1.0-AUTHENTIQUE-16V-FLEX-4P-MANUAL/4-portas/2010-2011/39998288
39711593,101,HONDA,CIVIC,39900,2006,2007,113600,Automática,Prata,1.8 LXS 16V GASOLINA 4P AUTOMATICO,São José,PJ,https://www.webmotors.com.br/comprar/HONDA/CIVIC/1.8-LXS-16V-GASOLINA-4P-AUTOMATICO/4-portas/2006-2007/39711593
39711617,106,HYUNDAI,HB20,53900,2014,2014,60190,Automática,Vermelho,1.6 PREMIUM 16V FLEX 4P AUTOMATICO,São José,PJ,https://www.webmotors.com.br/comprar/HYUNDAI/HB20/1.6-PREMIUM-16V-FLEX-4P-AUTOMATICO/4-portas/2014-2014/39711617
39998411,108,JEEP,RENEGADE,84900,2018,2018,58600,Automática,Branco,1.8 16V FLEX 4P AUTOMATICO,Itajaí,PJ,https://www.webmotors.com.br/comprar/JEEP/RENEGADE/1.8-16V-FLEX-4P-AUTOMATICO/4-portas/2018-2018/39998411
39711905,120,FORD,KA,69900,2018,2019,15500,Automática,Preto,1.5 TI-VCT FLEX SE AUTOMATICO,Brusque,PJ,https://www.webmotors.com.br/comprar/FORD/KA/1.5-TI-VCT-FLEX-SE-AUTOMATICO/4-portas/2018-2019/39711905
39712048,110,CHEVROLET,CRUZE,97900,2018,2018,36243,Automática,Preto,1.4 TURBO LT 16V FLEX 4P AUTOMATICO,Itajaí,PJ,https://www.webmotors.com.br/comprar/CHEVROLET/CRUZE/1.4-TURBO-LT-16V-FLEX-4P-AUTOMATICO/4-portas/2018-2018/39712048
39712147,119,RENAULT,SANDERO,54900,2019,2020,53435,Manual,Branco,1.0 12V SCE FLEX AUTHENTIQUE MANUAL,Itajaí,PJ,https://www.webmotors.com.br/comprar/RENAULT/SANDERO/1.0-12V-SCE-FLEX-AUTHENTIQUE-MANUAL/4-portas/2019-2020/39712147
39712156,666,WILLYS,JEEP,35990,1960,1960,2800,Manual,Verde,2.6 6 CILINDROS 12V GASOLINA 2P MANUAL,Brusque,PJ,https://www.webmotors.com.br/comprar/WILLYS/JEEP/2.6-6-CILINDROS-12V-GASOLINA-2P-MANUAL/2-portas/1960-1960/39712156
39712169,115,VOLKSWAGEN,GOL,59900,2019,2020,64302,Manual,Branco,1.0 12V MPI TOTALFLEX 4P MANUAL,Itajaí,PJ,https://www.webmotors.com.br/comprar/VOLKSWAGEN/GOL/1.0-12V-MPI-TOTALFLEX-4P-MANUAL/4-portas/2019-2020/39712169
39712178,106,CHEVROLET,ONIX,57900,2019,2019,66214,Manual,Prata,1.0 MPFI LT 8V FLEX 4P MANUAL,São José,PJ,https://www.webmotors.com.br/comprar/CHEVROLET/ONIX/1.0-MPFI-LT-8V-FLEX-4P-MANUAL/4-portas/2019-2019/39712178
39712457,99,PEUGEOT,208,58900,2017,2017,71978,Automática,Prata,1.6 GRIFFE 16V FLEX 4P AUTOMATICO,São José,PJ,https://www.webmotors.com.br/comprar/PEUGEOT/208/1.6-GRIFFE-16V-FLEX-4P-AUTOMATICO/4-portas/2017-2017/39712457
39999458,108,HONDA,CIVIC,78900,2014,2015,112335,Automática,Preto,2.0 LXR 16V FLEX 4P AUTOMATICO,Tijucas,PJ,https://www.webmotors.com.br/comprar/HONDA/CIVIC/2.0-LXR-16V-FLEX-4P-AUTOMATICO/4-portas/2014-2015/39999458
38279290,91,VOLKSWAGEN,JETTA,97900,2018,2018,73293,Automática,Branco,1.4 250 TSI TOTAL FLEX COMFORTLINE TIPTRONIC,Tijucas,PJ,https://www.webmotors.com.br/comprar/VOLKSWAGEN/JETTA/1.4-250-TSI-TOTAL-FLEX-COMFORTLINE-TIPTRONIC/4-portas/2018-2018/38279290
